iter	Passed	Remaining
177	310	1432
178	310	1426
179	311	1420
180	312	1415
181	313	1409
182	314	1404
183	315	1398
184	316	1392
185	316	1386
186	317	1380
187	319	1377
188	320	1376
189	321	1372
190	322	1367
191	323	1362
192	324	1356
193	325	1351
194	325	1345
195	326	1340
196	327	1335
197	328	1332
198	330	1328
199	330	1323
200	331	1318
201	332	1312
202	333	1307
203	334	1306
204	335	1302
205	336	1297
206	337	1294
207	338	1289
208	339	1284
209	340	1279
210	341	1276
211	342	1273
212	343	1269
213	344	1265
214	345	1261
215	346	1255
216	346	1250
217	347	1245
218	348	1242
219	350	1241
220	351	1237
221	351	1233
222	353	1231
223	354	1228
224	355	1225
225	357	1223
226	358	1222
227	360	1219
228	360	1215
229	361	1211
230	363	1208
231	364	1207
232	365	1203
233	366	1200
234	367	1196
235	368	1192
236	369	1188
237	370	1185
238	371	1182
239	372	1179
240	373	1175
241	374	1171
242	374	1167
243	375	1163
244	376	1158
245	376	1154
246	377	1151
247	379	1150
248	380	1147
249	381	1144
250	382	1140
251	383	1137
252	383	1133
253	384	1129
254	385	1127
255	386	1124
256	388	1122
257	388	1118
258	389	1114
259	390	1111
260	391	1107
261	391	1103
262	393	1102
263	394	1100
264	395	1097
265	396	1093
266	397	1090
267	398	1087
268	399	1084
269	399	1081
270	400	1078
271	401	1075
272	402	1072
273	403	1069
274	404	1066
275	405	1063
276	405	1059
277	406	1055
278	407	1053
279	409	1052
280	410	1049
281	411	1046
282	411	1043
283	412	1040
284	413	1037
285	414	1034
286	415	1031
287	416	1030
288	418	1029
289	419	1026
290	419	1022
291	420	1020
292	421	1017
293	422	1015
294	424	1014
295	425	1012
296	426	1010
297	427	1007
298	428	1004
299	429	1001
300	429	998
301	430	995
302	431	992
303	431	989
304	432	985
305	433	982
306	434	979
307	434	976
308	435	973
309	436	970
310	436	968
311	438	966
312	439	965
313	440	962
314	441	960
315	442	957
316	443	954
317	444	952
318	445	950
319	446	948
320	447	945
321	447	943
322	448	940
323	449	937
324	449	934
325	450	931
326	451	929
327	453	928
328	454	926
329	455	923
330	455	921
331	456	918
332	457	916
333	458	913
334	458	910
335	459	908
336	460	905
337	460	902
338	461	899
339	462	897
340	462	894
341	463	891
342	464	889
343	464	886
344	465	884
345	466	882
346	469	883
347	470	881
348	471	878
349	471	876
350	472	873
351	473	871
352	474	869
353	474	866
354	475	864
355	476	862
356	477	860
357	478	858
358	479	855
359	479	853
360	480	851
361	481	849
362	483	848
363	486	850
364	487	848
365	488	846
366	489	844
367	490	841
368	490	839
369	491	836
370	492	834
371	492	831
372	493	829
373	494	827
374	495	825
375	496	823
376	496	820
377	497	819
378	499	817
379	500	816
380	501	814
381	502	812
382	503	810
383	503	808
384	504	806
385	506	805
386	507	803
387	508	802
388	509	799
389	510	797
390	510	795
391	511	793
392	512	791
393	513	789
394	515	789
395	516	788
396	517	786
397	518	784
398	519	781
399	519	779
400	520	777
401	521	775
402	521	772
403	522	770
404	523	768
405	523	766
406	524	764
407	525	762
408	526	760
409	526	758
410	527	756
411	528	754
412	529	753
413	530	751
414	531	749
415	532	747
416	533	745
417	533	743
418	534	741
419	535	738
420	535	736
421	536	734
422	536	732
423	537	730
424	538	728
425	538	726
426	539	724
427	540	722
428	541	720
429	542	718
430	543	717
431	544	715
432	545	714
433	546	712
434	547	710
435	548	708
436	548	707
437	549	705
438	550	703
439	551	701
440	551	699
441	552	697
442	553	695
443	554	693
444	554	692
445	555	690
446	556	688
447	556	686
448	557	684
449	558	682
450	559	681
451	560	679
452	561	677
453	562	675
454	562	674
455	563	672
456	564	670
457	564	668
458	565	666
459	566	664
460	566	662
461	567	660
462	568	659
463	569	657
464	569	655
465	570	653
466	571	652
467	572	650
468	572	648
469	574	647
470	575	645
471	576	644
472	577	643
473	578	641
474	578	639
475	579	637
476	580	635
477	580	634
478	581	632
479	582	630
480	582	628
